Name,Team,Position,Height,Weight,College,Salary
Saddiq Bey,Atlanta Hawks,F,6-7,215,Villanova,4556983
Bogdan Bogdanovic,Atlanta Hawks,G,6-5,225,Fenerbahce,18700000
Kobe Bufkin,Atlanta Hawks,G,6-5,195,Michigan,4094244
Clint Capela,Atlanta Hawks,C,6-10,256,Elan Chalon,20616000
Bruno Fernando,Atlanta Hawks,F-C,6-10,240,Maryland,2581522
Trent Forrest,Atlanta Hawks,G,6-4,210,Florida State,508891
AJ Griffin,Atlanta Hawks,F,6-6,220,Duke,3712920
Mouhamed Gueye,Atlanta Hawks,F,6-11,210,Washington State,1119563
De'Andre Hunter,Atlanta Hawks,F-G,6-8,221,Virginia,20089286
Jalen Johnson,Atlanta Hawks,F,6-8,219,Duke,2925360
Seth Lundy,Atlanta Hawks,G,6-6,220,Penn State,559782
Garrison Mathews,Atlanta Hawks,G,6-6,215,Lipscomb,2000000
Wesley Matthews,Atlanta Hawks,G,6-5,220,Marquette,3196448
Patty Mills,Atlanta Hawks,G,6-0,180,St. Mary's,6802950
Dejounte Murray,Atlanta Hawks,G,6-5,180,Washington,18214000
Miles Norris,Atlanta Hawks,,,,,559782
Onyeka Okongwu,Atlanta Hawks,F-C,6-9,240,Southern California,8109063
Trae Young,Atlanta Hawks,G,6-1,164,Oklahoma,40064220
Dalano Banton,Boston Celtics,F,6-7,204,Nebraska,2019706
Oshae Brissett,Boston Celtics,F-G,6-7,210,Syracuse,2165000
Malcolm Brogdon,Boston Celtics,G,6-4,229,Virginia,22500000
Jaylen Brown,Boston Celtics,G-F,6-6,223,California,31830357
JD Davison,Boston Celtics,G,6-1,195,Alabama,559782
Blake Griffin,Boston Celtics,F,6-9,250,Oklahoma,
Sam Hauser,Boston Celtics,F,6-7,217,Virginia,1927896
Al Horford,Boston Celtics,C-F,6-9,240,Florida,10000000
Mfiondu Kabengele,Boston Celtics,C,6-10,250,Florida State,
Luke Kornet,Boston Celtics,C-F,7-2,250,Vanderbilt,2413304
Svi Mykhailiuk,Boston Celtics,G-F,6-7,205,Kansas,
Kristaps Porzingis,Boston Celtics,F-C,7-3,240,Cajasol Sevilla,36016200
Payton Pritchard,Boston Celtics,G,6-1,195,Oregon,4037277
Jay Scrubb,Boston Celtics,G,6-5,220,John A. Logan,559782
Jayson Tatum,Boston Celtics,F-G,6-8,210,Duke,32600060
Jordan Walsh,Boston Celtics,G,6-7,205,Arkansas,1119563
Derrick White,Boston Celtics,G,6-4,190,Colorado,18357143
Robert Williams III,Boston Celtics,C-F,6-9,237,Texas A&M,
Darius Bazley,Brooklyn Nets,F,6-9,216,Princeton HS (OH),2165000
Mikal Bridges,Brooklyn Nets,G-F,6-6,209,Villanova,21700000
Armoni Brooks,Brooklyn Nets,G,6-3,195,Houston,559782
Nic Claxton,Brooklyn Nets,C,6-11,215,Georgia,
Noah Clowney,Brooklyn Nets,F,6-10,210,Alabama,3089460
Spencer Dinwiddie,Brooklyn Nets,G,6-5,215,Colorado,20357143
Dorian Finney-Smith,Brooklyn Nets,F,6-7,220,Florida,13932008
Cameron Johnson,Brooklyn Nets,F,6-8,210,North Carolina,25679348
Royce O'Neale,Brooklyn Nets,F,6-6,226,Baylor,9500000
Day'Ron Sharpe,Brooklyn Nets,C,6-9,265,North Carolina,2210040
