Date,Country,Price in US Dollars
2000-04-01,Argentina,2.5
2000-04-01,Australia,1.541666667
2000-04-01,Brazil,1.648044693
2000-04-01,Canada,1.93877551
2000-04-01,Switzerland,3.470588235
2000-04-01,Chile,2.451361868
2000-04-01,China,1.195652174
2000-04-01,Czech Republic,1.390537084
2000-04-01,Denmark,3.078358209
2000-04-01,Euro area,2.3808
2000-04-01,Britain,3.002000002
2000-04-01,Hong Kong,1.309370988
2000-04-01,Hungary,1.215053763
2000-04-01,Indonesia,1.825047199
2000-04-01,Israel,3.580246914
2000-04-01,Japan,2.773584906
2000-04-01,South Korea,2.707581227
2000-04-01,Mexico,2.221041445
2000-04-01,Malaysia,1.189473684
2000-04-01,New Zealand,1.691542289
2000-04-01,Poland,1.279069767
2000-04-01,Russia,1.385964912
2000-04-01,Singapore,1.882352941
2000-04-01,Sweden,2.714932127
2000-04-01,Thailand,1.447368421
2000-04-01,Taiwan,2.287581699
2000-04-01,United States,2.51
2000-04-01,South Africa,1.339285714
2001-04-01,Argentina,2.5
2001-04-01,Australia,1.515151515
2001-04-01,Brazil,1.643835616
2001-04-01,Canada,2.134615385
2001-04-01,Switzerland,3.641618497
2001-04-01,Chile,2.096505824
2001-04-01,China,1.195652174
2001-04-01,Czech Republic,1.435897436
2001-04-01,Denmark,2.925531915
2001-04-01,Euro area,2.261600001
2001-04-01,Britain,2.845700001
2001-04-01,Hong Kong,1.371794872
2001-04-01,Hungary,1.316831683
2001-04-01,Indonesia,1.354214648
2001-04-01,Japan,2.370967742
2001-04-01,South Korea,2.264150943
2001-04-01,Mexico,2.35737352
2001-04-01,Malaysia,1.189473684
2001-04-01,New Zealand,1.457489879
2001-04-01,Philippines,1.172962227
2001-04-01,Poland,1.464019851
2001-04-01,Russia,1.211072664
2001-04-01,Singapore,1.82320442
2001-04-01,Sweden,2.33463035
2001-04-01,Thailand,1.208791209
2001-04-01,Taiwan,2.127659574
2001-04-01,United States,2.54
2001-04-01,South Africa,1.193111931
2002-04-01,Argentina,0.7987220447
2002-04-01,Australia,1.612903226
2002-04-01,Brazil,1.538461538
2002-04-01,Canada,2.121019108
2002-04-01,Switzerland,3.795180723
2002-04-01,Chile,2.13740458
2002-04-01,China,1.268115942
2002-04-01,Czech Republic,1.655294118
2002-04-01,Denmark,2.953460621
2002-04-01,Euro area,2.376299999
2002-04-01,Britain,2.885500002
2002-04-01,Hong Kong,1.4
2002-04-01,Hungary,1.6875
2002-04-01,Indonesia,1.696712619
2002-04-01,Israel,2.505219207
2002-04-01,Japan,2.015384615
2002-04-01,South Korea,2.377300613
2002-04-01,Mexico,2.359913793
2002-04-01,Malaysia,1.326315789
2002-04-01,Norway,4.088785047
2002-04-01,New Zealand,1.607142857
2002-04-01,Peru,2.478134111
2002-04-01,Philippines,1.274509804
2002-04-01,Poland,1.46039604
2002-04-01,Russia,1.25
2002-04-01,Singapore,1.813186813
2002-04-01,Sweden,2.5
2002-04-01,Thailand,1.270207852
2002-04-01,Turkey,3.02000755
2002-04-01,Taiwan,2.011494253
2002-04-01,United States,2.49
2002-04-01,South Africa,0.8899082569
2003-04-01,Argentina,1.423611111
2003-04-01,Australia,1.863354037
2003-04-01,Brazil,1.482084691
2003-04-01,Canada,2.206896552
2003-04-01,Switzerland,4.598540146
2003-04-01,Chile,1.955307263
2003-04-01,China,1.195652174
2003-04-01,Czech Republic,1.957439446
2003-04-01,Denmark,4.092920354
2003-04-01,Egypt,1.351351351
2003-04-01,Euro area,2.981
2003-04-01,Britain,3.144200002
2003-04-01,Hong Kong,1.474358974
2003-04-01,Hungary,2.1875
2003-04-01,Indonesia,1.842105263
2003-04-01,Japan,2.183333333
2003-04-01,South Korea,2.704918033
2003-04-01,Mexico,2.184235518
2003-04-01,Malaysia,1.326315789
2003-04-01,New Zealand,2.219101124
2003-04-01,Peru,2.283236994
2003-04-01,Philippines,1.238095238
2003-04-01,Poland,1.619537275
2003-04-01,Russia,1.318327974
2003-04-01,Singapore,1.853932584
2003-04-01,Sweden,3.597122302
2003-04-01,Thailand,1.381733021
2003-04-01,Turkey,2.343017807
2003-04-01,Taiwan,2.011494253
2003-04-01,United States,2.71
2003-04-01,South Africa,1.845238095
2004-05-01,Argentina,1.477966102
2004-05-01,Australia,2.272727273
2004-05-01,Brazil,1.698113208
2004-05-01,Canada,2.328467153
2004-05-01,Switzerland,4.88372093
2004-05-01,Chile,2.184087363
2004-05-01,China,1.256038647
2004-05-01,Colombia,2.346714419
2004-05-01,Costa Rica,2.606389113
2004-05-01,Czech Republic,2.129056604
2004-05-01,Denmark,4.461414791
2004-05-01,Egypt,1.615508885
2004-05-01,Euro area,3.288000001
2004-05-01,Britain,3.365199999
2004-05-01,Hong Kong,1.540436457
2004-05-01,Hungary,2.511848341
2004-05-01,Indonesia,1.765350877
2004-05-01,Japan,2.318584071
2004-05-01,South Korea,2.718776551
2004-05-01,Sri Lanka,1.414141414
2004-05-01,Mexico,2.068965517
2004-05-01,Malaysia,1.326315789
