Rank,Company,Sector,Industry,Revenue,Profits,Employees
1,Walmart,Retailing,General Merchandisers,482130,14694,2300000
2,Exxon Mobil,Energy,Petroleum Refining,246204,16150,75600
3,Apple,Technology,"Computers, Office Equipment",233715,53394,110000
4,Berkshire Hathaway,Financials,Insurance: Property and Casualty (Stock),210821,24083,331000
5,McKesson,Health Care,Wholesalers: Health Care,181241,1476,70400
6,UnitedHealth Group,Health Care,Health Care: Insurance and Managed Care,157107,5813,200000
7,CVS Health,Food and Drug Stores,Food and Drug Stores,153290,5237,199000
8,General Motors,Motor Vehicles & Parts,Motor Vehicles and Parts,152356,9687,215000
9,Ford Motor,Motor Vehicles & Parts,Motor Vehicles and Parts,149558,7373,199000
10,AT&T,Telecommunications,Telecommunications,146801,13345,281450
11,General Electric,Industrials,Industrial Machinery,140389,-6126,333000
12,AmerisourceBergen,Health Care,Wholesalers: Health Care,135962,-135,17000
13,Verizon,Telecommunications,Telecommunications,131620,17879,177700
14,Chevron,Energy,Petroleum Refining,131118,4587,61500
15,Costco,Retailing,Specialty Retailers: Other,116199,2377,161000
16,Fannie Mae,Financials,Diversified Financials,110359,10954,7300
17,Kroger,Food and Drug Stores,Food and Drug Stores,109830,2039,431000
18,Amazon.com,Technology,Internet Services and Retailing,107006,596,230800
19,Walgreens Boots Alliance,Food and Drug Stores,Food and Drug Stores,103444,4220,302500
20,HP,Technology,"Computers, Office Equipment",103355,4554,287000
21,Cardinal Health,Health Care,Wholesalers: Health Care,102531,1215,34500
22,Express Scripts Holding,Health Care,Health Care: Pharmacy and Other Services,101752,2476,25900
23,J.P. Morgan Chase,Financials,Commercial Banks,101006,24442,234598
24,Boeing,Aerospace & Defense,Aerospace and Defense,96114,5176,161400
25,Microsoft,Technology,Computer Software,93580,12193,118000
26,Bank of America Corp.,Financials,Commercial Banks,93056,15888,213280
27,Wells Fargo,Financials,Commercial Banks,90033,22894,264700
28,Home Depot,Retailing,Specialty Retailers: Other,88519,7009,385000
29,Citigroup,Financials,Commercial Banks,88275,17242,231000
30,Phillips 66,Energy,Petroleum Refining,87169,4227,14000
31,IBM,Technology,Information Technology Services,82461,13190,411798
32,Valero Energy,Energy,Petroleum Refining,81824,3990,10103
33,Anthem,Health Care,Health Care: Insurance and Managed Care,79157,2560,53000
34,Procter & Gamble,Household Products,Household and Personal Products,78756,7036,110000
35,State Farm Insurance Cos.,Financials,Insurance: Property and Casualty (Mutual),75697,6229,70425
36,Alphabet,Technology,Internet Services and Retailing,74989,16348,61814
37,Comcast,Telecommunications,Telecommunications,74510,8163,153000
38,Target,Retailing,General Merchandisers,73785,3363,341000
39,Johnson & Johnson,Health Care,Pharmaceuticals,70074,15409,127100
40,MetLife,Financials,"Insurance: Life, Health (stock)",69951,5310,69000
41,Archer Daniels Midland,"Food, Beverages & Tobacco",Food Production,67702,1849,32300
42,Marathon Petroleum,Energy,Petroleum Refining,64566,2852,45440
43,Freddie Mac,Financials,Diversified Financials,63491,6376,5439
44,PepsiCo,"Food, Beverages & Tobacco",Food Consumer Products,63056,5452,263000
45,United Technologies,Aerospace & Defense,Aerospace and Defense,61047,7608,197200
46,Aetna,Health Care,Health Care: Insurance and Managed Care,60337,2390,50100
47,Lowe’s,Retailing,Specialty Retailers: Other,59074,2546,225000
48,UPS,Transportation,"Mail, Package, and Freight Delivery",58363,4844,341240
49,AIG,Financials,Insurance: Property and Casualty (Stock),58327,2196,66400
50,Prudential Financial,Financials,"Insurance: Life, Health (stock)",57119,5642,49384
51,Intel,Technology,Semiconductors and Other Electronic Components,55355,11420,107300
52,Humana,Health Care,Health Care: Insurance and Managed Care,54289,1276,50100
53,Disney,Media,Entertainment,52465,8382,185000
54,Cisco Systems,Technology,Network and Other Communications Equipment,49161,8981,71833
55,Pfizer,Health Care,Pharmaceuticals,48851,6960,97900
56,Dow Chemical,Chemicals,Chemicals,48778,7685,49495
57,Sysco,Wholesalers,Wholesalers: Food and Grocery,48681,687,51700
58,FedEx,Transportation,"Mail, Package, and Freight Delivery",47453,1050,323035
59,Caterpillar,Industrials,Construction and Farm Machinery,47011,2102,112200
60,Lockheed Martin,Aerospace & Defense,Aerospace and Defense,46132,3605,126000
61,New York Life Insurance,Financials,"Insurance: Life, Health (Mutual)",45891,257,11463
62,Coca-Cola,"Food, Beverages & Tobacco",Beverages,44294,7351,123200
63,HCA Holdings,Health Care,Health Care: Medical Facilities,43591,2129,203500
64,Ingram Micro,Wholesalers,Wholesalers: Electronics and Office Equipment,43026,215,27700
65,Energy Transfer Equity,Energy,Pipelines,42126,1189,30078
66,Tyson Foods,"Food, Beverages & Tobacco",Food Production,41373,1220,113000
67,American Airlines Group,Transportation,Airlines,40990,7610,118500
68,Delta Air Lines,Transportation,Airlines,40704,4526,82949
69,Nationwide,Financials,Insurance: Property and Casualty (Mutual),40222,581,34032
70,Johnson Controls,Motor Vehicles & Parts,Motor Vehicles and Parts,40204,1563,139000
71,Best Buy,Retailing,Specialty Retailers: Other,39745,897,125000
72,Merck,Health Care,Pharmaceuticals,39498,4442,68000
73,Liberty Mutual Insurance Group,Financials,Insurance: Property and Casualty (Stock),39450,514,50000
74,Goldman Sachs Group,Financials,Commercial Banks,39208,6083,36800
75,Honeywell International,Industrials,"Electronics, Electrical Equip.",38581,4768,129000
76,Massachusetts Mutual Life Insurance,Financials,"Insurance: Life, Health (Mutual)",38243,1425,11593
77,Oracle,Technology,Computer Software,38226,9938,132000
78,Morgan Stanley,Financials,Commercial Banks,37897,6127,56218
79,Cigna,Health Care,Health Care: Insurance and Managed Care,37876,2094,39300
80,United Continental Holdings,Transportation,Airlines,37864,7340,84000
81,Allstate,Financials,Insurance: Property and Casualty (Stock),35653,2171,41350
82,TIAA,Financials,"Insurance: Life, Health (Mutual)",35181,1214,12735
83,INTL FCStone,Financials,Diversified Financials,34693,56,1231
84,CHS,"Food, Beverages & Tobacco",Food Production,34582,781,12511
85,American Express,Financials,Diversified Financials,34441,5163,54800
86,Gilead Sciences,Health Care,Pharmaceuticals,32639,18108,8000
87,Publix Super Markets,Food and Drug Stores,Food and Drug Stores,32619,1965,180000
88,General Dynamics,Aerospace & Defense,Aerospace and Defense,31469,2965,99900
89,TJX,Retailing,Specialty Retailers: Apparel,30945,2278,216000
90,ConocoPhillips,Energy,"Mining, Crude-Oil Production",30935,-4428,15900
91,Nike,Apparel,Apparel,30601,3273,62600
92,World Fuel Services,Wholesalers,Wholesalers: Diversified,30380,187,4700
93,3M,Industrials,Miscellaneous,30274,4833,89446
94,Mondelez International,"Food, Beverages & Tobacco",Food Consumer Products,29636,7267,99000
95,Exelon,Energy,Utilities: Gas and Electric,29447,2269,29762
96,Twenty-First Century Fox,Media,Entertainment,28987,8306,20500
97,Deere,Industrials,Construction and Farm Machinery,28863,1940,57180
98,Tesoro,Energy,Petroleum Refining,28150,1540,6016
99,Time Warner,Media,Entertainment,28118,3833,24800
100,Northwestern Mutual,Financials,"Insurance: Life, Health (Mutual)",28111,815,5530
101,DuPont,Chemicals,Chemicals,27940,1953,52000
102,Avnet,Wholesalers,Wholesalers: Electronics and Office Equipment,27925,572,18800
103,Macy’s,Retailing,General Merchandisers,27079,1072,157500
104,Enterprise Products Partners,Energy,Pipelines,27028,2521,6800
105,Travelers Cos.,Financials,Insurance: Property and Casualty (Stock),26800,3439,30900
106,Philip Morris International,"Food, Beverages & Tobacco",Tobacco,26794,6873,80200
107,Rite Aid,Food and Drug Stores,Food and Drug Stores,26528,2109,69865
108,Tech Data,Wholesalers,Wholesalers: Electronics and Office Equipment,26380,266,9000
109,McDonald’s,"Hotels, Resturants & Leisure",Food Services,25413,4529,420000
110,Qualcomm,Technology,Network and Other Communications Equipment,25281,5271,33000
111,Sears Holdings,Retailing,General Merchandisers,25146,-1129,178000
112,Capital One Financial,Financials,Commercial Banks,25098,4050,45400
113,EMC,Technology,Computer Peripherals,24704,1990,72000
114,USAA,Financials,Insurance: Property and Casualty (Stock),24361,2272,28681
115,Duke Energy,Energy,Utilities: Gas and Electric,24002,2816,29188
116,Time Warner Cable,Telecommunications,Telecommunications,23697,1844,56430
117,Halliburton,Energy,"Oil and Gas Equipment, Services",23633,-671,65000
118,Northrop Grumman,Aerospace & Defense,Aerospace and Defense,23526,1990,65000
119,Arrow Electronics,Wholesalers,Wholesalers: Electronics and Office Equipment,23282,498,18500
120,Raytheon,Aerospace & Defense,Aerospace and Defense,23247,2074,61000
121,Plains GP Holdings,Energy,Pipelines,23152,118,5400
122,US Foods Holding,Wholesalers,Wholesalers: Food and Grocery,23128,168,25000
123,AbbVie,Health Care,Pharmaceuticals,22859,5144,28000
124,Centene,Health Care,Health Care: Insurance and Managed Care,22795,355,18200
125,Community Health Systems,Health Care,Health Care: Medical Facilities,22678,158,123000
126,Alcoa,Materials,Metals,22534,-322,60000
