Rank,Company,Sector,Industry,Revenue,Profits,Employees
127,International Paper,Materials,"Packaging, Containers",22365,938,56000
128,Emerson Electric,Industrials,"Electronics, Electrical Equip.",22304,2710,110800
129,Union Pacific,Transportation,Railroads,21813,4772,47457
130,Amgen,Health Care,Pharmaceuticals,21662,6939,17900
131,U.S. Bancorp,Financials,Commercial Banks,21494,5879,65433
132,Staples,Retailing,Specialty Retailers: Other,21059,379,58963
133,Danaher,Technology,"Scientific,Photographic and Control Equipment",20909,3357,81000
134,Whirlpool,Industrials,"Electronics, Electrical Equip.",20891,783,97000
135,Aflac,Financials,"Insurance: Life, Health (stock)",20872,2533,9915
136,AutoNation,Retailing,"Automotive Retailing, Services",20862,443,26000
137,Progressive,Financials,Insurance: Property and Casualty (Stock),20854,1268,28580
138,Abbott Laboratories,Health Care,Medical Products and Equipment,20661,4423,74000
139,Dollar General,Retailing,General Merchandisers,20369,1165,113400
140,Tenet Healthcare,Health Care,Health Care: Medical Facilities,20111,-140,119148
141,Eli Lilly,Health Care,Pharmaceuticals,19959,2408,41275
142,Southwest Airlines,Transportation,Airlines,19820,2181,49583
143,Penske Automotive Group,Retailing,"Automotive Retailing, Services",19361,326,23000
144,ManpowerGroup,Business Services,Temporary Help,19330,419,27000
145,Kohl’s,Retailing,General Merchandisers,19204,673,86000
146,Starbucks,"Hotels, Resturants & Leisure",Food Services,19163,2757,238000
147,Paccar,Motor Vehicles & Parts,Motor Vehicles and Parts,19115,1604,23000
148,Cummins,Industrials,Construction and Farm Machinery,19110,1399,55200
149,Altria Group,"Food, Beverages & Tobacco",Tobacco,18854,5241,8800
150,Xerox,Technology,Information Technology Services,18664,474,143600
151,Kimberly-Clark,Household Products,Household and Personal Products,18591,1013,43000
152,Hartford Financial Services Group,Financials,Insurance: Property and Casualty (Stock),18377,1682,17400
153,Kraft Heinz,"Food, Beverages & Tobacco",Food Consumer Products,18338,634,42000
154,Lear,Motor Vehicles & Parts,Motor Vehicles and Parts,18211,746,136200
155,Fluor,Engineering & Construction,"Engineering, Construction",18114,413,38758
156,AECOM,Engineering & Construction,"Engineering, Construction",17990,-155,92000
157,Facebook,Technology,Internet Services and Retailing,17928,3688,12691
158,Jabil Circuit,Technology,Semiconductors and Other Electronic Components,17914,284,161000
159,CenturyLink,Telecommunications,Telecommunications,17900,878,43000
160,Supervalu,Food and Drug Stores,Food and Drug Stores,17820,192,38500
161,General Mills,"Food, Beverages & Tobacco",Food Consumer Products,17630,1221,42000
162,Southern,Energy,Utilities: Gas and Electric,17489,2367,26703
163,NextEra Energy,Energy,Utilities: Gas and Electric,17486,2752,14300
164,Thermo Fisher Scientific,Technology,"Scientific,Photographic and Control Equipment",16965,1975,52400
165,American Electric Power,Energy,Utilities: Gas and Electric,16900,2047,17405
166,PG&E Corp.,Energy,Utilities: Gas and Electric,16833,874,23323
167,NGL Energy Partners,Wholesalers,Wholesalers: Diversified,16802,17,3100
168,Bristol-Myers Squibb,Health Care,Pharmaceuticals,16560,1565,25000
169,Goodyear Tire & Rubber,Motor Vehicles & Parts,Motor Vehicles and Parts,16443,307,66000
170,Nucor,Materials,Metals,16439,358,23700
171,PNC Financial Services Group,Financials,Commercial Banks,16270,4106,50831
172,Health Net,Health Care,Health Care: Insurance and Managed Care,16244,186,8584
173,Micron Technology,Technology,Semiconductors and Other Electronic Components,16192,2899,31800
174,Colgate-Palmolive,Household Products,Household and Personal Products,16034,1384,37900
175,Freeport-McMoRan,Energy,"Mining, Crude-Oil Production",15877,-12236,34500
176,ConAgra Foods,"Food, Beverages & Tobacco",Food Consumer Products,15849,-253,32900
177,Gap,Retailing,Specialty Retailers: Apparel,15797,920,141000
178,Baker Hughes,Energy,"Oil and Gas Equipment, Services",15742,-1967,43000
179,Bank of New York Mellon Corp.,Financials,Commercial Banks,15523,3158,51200
180,Dollar Tree,Retailing,Specialty Retailers: Other,15498,282,111550
181,Whole Foods Market,Food and Drug Stores,Food and Drug Stores,15389,536,76300
182,PPG Industries,Chemicals,Chemicals,15330,1406,46600
183,Genuine Parts,Wholesalers,Wholesalers: Diversified,15280,706,39600
184,Icahn Enterprises,Financials,Diversified Financials,15272,-1194,73807
185,Performance Food Group,Wholesalers,Wholesalers: Food and Grocery,15270,57,12000
186,Omnicom Group,Business Services,"Advertising, marketing",15134,1094,74900
187,DISH Network,Telecommunications,Telecommunications,15069,747,18000
188,FirstEnergy,Energy,Utilities: Gas and Electric,15026,578,15781
189,Monsanto,Chemicals,Chemicals,15001,2314,24000
190,AES,Energy,Utilities: Gas and Electric,14963,306,21000
191,CarMax,Retailing,"Automotive Retailing, Services",14874,597,22064
192,National Oilwell Varco,Energy,"Oil and Gas Equipment, Services",14757,-769,47262
193,NRG Energy,Energy,Energy,14674,-6382,10468
194,Western Digital,Technology,Computer Peripherals,14572,1465,76449
195,Marriott International,"Hotels, Resturants & Leisure","Hotels, Casinos, Resorts",14486,859,127500
196,Office Depot,Retailing,Specialty Retailers: Other,14485,8,49000
197,Nordstrom,Retailing,General Merchandisers,14437,600,72500
198,Kinder Morgan,Energy,Pipelines,14403,253,11290
199,Aramark,Business Services,Diversified Outsourcing Services,14329,236,216500
200,DaVita HealthCare Partners,Health Care,Health Care: Medical Facilities,14210,270,60400
201,Molina Healthcare,Health Care,Health Care: Insurance and Managed Care,14178,143,21000
202,WellCare Health Plans,Health Care,Health Care: Insurance and Managed Care,13890,119,6900
203,CBS,Media,Entertainment,13886,1413,19080
204,Visa,Business Services,Financial Data Services,13880,6328,11300
205,Lincoln National,Financials,"Insurance: Life, Health (stock)",13572,1154,9312
206,Ecolab,Chemicals,Chemicals,13545,1002,47145
207,Kellogg,"Food, Beverages & Tobacco",Food Consumer Products,13525,614,33577
208,C.H. Robinson Worldwide,Transportation,Transportation and Logistics,13476,510,13159
209,Textron,Aerospace & Defense,Aerospace and Defense,13423,697,35000
210,Loews,Financials,Insurance: Property and Casualty (Stock),13415,260,16700
211,Illinois Tool Works,Industrials,Industrial Machinery,13405,1899,48000
212,Synnex,Wholesalers,Wholesalers: Electronics and Office Equipment,13338,209,78500
213,Viacom,Media,Entertainment,13268,1922,9445
214,HollyFrontier,Energy,Petroleum Refining,13238,740,2704
215,Land O’Lakes,"Food, Beverages & Tobacco",Food Consumer Products,13161,308,10000
216,Devon Energy,Energy,"Mining, Crude-Oil Production",13145,-14454,5167
217,PBF Energy,Energy,Petroleum Refining,13124,146,2270
218,Yum Brands,"Hotels, Resturants & Leisure",Food Services,13105,1293,505000
219,Texas Instruments,Technology,Semiconductors and Other Electronic Components,13000,2986,29977
220,CDW,Technology,Information Technology Services,12989,403,8465
221,Waste Management,Business Services,Waste Management,12961,753,40600
222,Marsh & McLennan,Financials,Diversified Financials,12893,1599,60000
223,Chesapeake Energy,Energy,"Mining, Crude-Oil Production",12764,-14685,4400
224,Parker-Hannifin,Industrials,Industrial Machinery,12712,1012,54750
225,Occidental Petroleum,Energy,"Mining, Crude-Oil Production",12699,-7829,11100
226,Guardian Life Ins. Co. of America,Financials,"Insurance: Life, Health (Mutual)",12628,411,8000
227,Farmers Insurance Exchange,Financials,Insurance: Property and Casualty (Mutual),12626,-114,13184
228,J.C. Penney,Retailing,General Merchandisers,12625,-513,105000
229,Consolidated Edison,Energy,Utilities: Gas and Electric,12554,1193,14806
230,Cognizant Technology Solutions,Technology,Information Technology Services,12416,1624,221700
231,VF,Apparel,Apparel,12377,1232,64000
232,Ameriprise Financial,Financials,Diversified Financials,12200,1562,13000
233,Computer Sciences,Technology,Information Technology Services,12183,-8,70000
234,L Brands,Retailing,Specialty Retailers: Apparel,12154,1253,55400
235,Jacobs Engineering Group,Engineering & Construction,"Engineering, Construction",12115,303,56950
236,Principal Financial,Financials,"Insurance: Life, Health (stock)",11964,1234,14895
237,Ross Stores,Retailing,Specialty Retailers: Apparel,11940,1021,77800
238,Bed Bath & Beyond,Retailing,Specialty Retailers: Other,11881,958,60000
239,CSX,Transportation,Railroads,11811,1968,29761
240,Toys “R” Us,Retailing,Specialty Retailers: Other,11802,-130,62000
241,Las Vegas Sands,"Hotels, Resturants & Leisure","Hotels, Casinos, Resorts",11689,1966,46500
242,Leucadia National,"Food, Beverages & Tobacco",Food Production,11684,284,13300
243,Dominion Resources,Energy,Utilities: Gas and Electric,11683,1899,14700
244,United States Steel,Materials,Metals,11574,-1642,33200
245,L-3 Communications,Aerospace & Defense,Aerospace and Defense,11554,-240,38000
246,Edison International,Energy,Utilities: Gas and Electric,11524,1020,12768
247,Entergy,Energy,Utilities: Gas and Electric,11513,-177,13579
248,ADP,Business Services,Diversified Outsourcing Services,11477,1453,55000
249,First Data,Business Services,Financial Data Services,11451,-1481,24000
250,BlackRock,Financials,Securities,11401,3345,13000
251,WestRock,Materials,"Packaging, Containers",11381,507,41400
252,Voya Financial,Financials,Diversified Financials,11341,408,7000
253,Sherwin-Williams,Chemicals,Chemicals,11339,1054,40706
254,Hilton Worldwide Holdings,"Hotels, Resturants & Leisure","Hotels, Casinos, Resorts",11272,1404,164000
255,R.R. Donnelley & Sons,Media,"Publishing, Printing",11257,151,68400
256,Stanley Black & Decker,Household Products,"Home Equipment, Furnishings",11211,884,51250
257,Xcel Energy,Energy,Utilities: Gas and Electric,11025,985,11644
258,Murphy USA,Retailing,Specialty Retailers: Other,10885,176,7100
259,CBRE Group,Financials,Real estate,10856,547,70000
260,D.R. Horton,Engineering & Construction,Homebuilders,10824,751,6230
261,Estee Lauder,Household Products,Household and Personal Products,10780,1089,44000
262,Praxair,Chemicals,Chemicals,10776,1547,26657
263,Biogen,Health Care,Pharmaceuticals,10764,3547,7350
264,State Street Corp.,Financials,Commercial Banks,10760,1980,32356
265,Unum Group,Financials,"Insurance: Life, Health (stock)",10731,867,9400
266,Reynolds American,"Food, Beverages & Tobacco",Tobacco,10675,3253,5650
267,Group 1 Automotive,Retailing,"Automotive Retailing, Services",10633,94,12886
268,Henry Schein,Health Care,Wholesalers: Health Care,10630,479,19000
269,Hertz Global Holdings,Retailing,"Automotive Retailing, Services",10535,273,30000
270,Norfolk Southern,Transportation,Railroads,10511,1556,30456
271,Reinsurance Group of America,Financials,"Insurance: Life, Health (stock)",10418,502,2201
272,Public Service Enterprise Group,Energy,Utilities: Gas and Electric,10415,1679,13025
273,BB&T Corp.,Financials,Commercial Banks,10346,2084,37200
274,DTE Energy,Energy,Utilities: Gas and Electric,10337,727,10000
275,Assurant,Financials,Insurance: Property and Casualty (Stock),10326,142,14861
276,Global Partners,Wholesalers,Wholesalers: Diversified,10315,44,1890
277,Huntsman,Chemicals,Chemicals,10299,93,15000
278,Becton Dickinson,Health Care,Medical Products and Equipment,10282,695,49517
279,Sempra Energy,Energy,Utilities: Gas and Electric,10231,1349,17387
280,AutoZone,Retailing,Specialty Retailers: Other,10187,1160,63990
281,Navistar International,Motor Vehicles & Parts,Motor Vehicles and Parts,10140,-184,13800
282,Precision Castparts,Aerospace & Defense,Aerospace and Defense,10056,1530,30106
283,Discover Financial Services,Financials,Commercial Banks,10002,2297,15036
284,Liberty Interactive,Technology,Internet Services and Retailing,9989,869,22080
285,W.W. Grainger,Wholesalers,Wholesalers: Diversified,9973,769,25100
286,Baxter International,Health Care,Medical Products and Equipment,9968,968,49400
287,Stryker,Health Care,Medical Products and Equipment,9946,1439,27000
288,Air Products & Chemicals,Chemicals,Chemicals,9895,1278,19550
289,Western Refining,Energy,Petroleum Refining,9787,407,7347
290,Universal Health Services,Health Care,Health Care: Medical Facilities,9785,681,64500
291,Owens & Minor,Health Care,Wholesalers: Health Care,9773,103,8100
292,Charter Communications,Telecommunications,Telecommunications,9754,-271,23800
293,Advance Auto Parts,Retailing,Specialty Retailers: Other,9737,473,56500
294,MasterCard,Business Services,Financial Data Services,9667,3808,11300
295,Applied Materials,Technology,Semiconductors and Other Electronic Components,9659,1377,15050
296,Eastman Chemical,Chemicals,Chemicals,9648,848,15000
297,Sonic Automotive,Retailing,"Automotive Retailing, Services",9624,86,9800
298,Ally Financial,Financials,Diversified Financials,9539,1289,7100
299,CST Brands,Retailing,Specialty Retailers: Other,9499,149,12761
300,eBay,Technology,Internet Services and Retailing,9496,1725,11600
301,Lennar,Engineering & Construction,Homebuilders,9474,803,7749
302,GameStop,Retailing,Specialty Retailers: Other,9364,403,40600
303,Reliance Steel & Aluminum,Materials,Metals,9351,312,13400
304,Hormel Foods,"Food, Beverages & Tobacco",Food Consumer Products,9264,686,20700
305,Celgene,Health Care,Pharmaceuticals,9256,1602,6971
306,Genworth Financial,Financials,"Insurance: Life, Health (stock)",9249,-615,4100
307,PayPal Holdings,Business Services,Financial Data Services,9248,1228,16800
308,Priceline Group,Technology,Internet Services and Retailing,9224,2551,15500
309,MGM Resorts International,"Hotels, Resturants & Leisure","Hotels, Casinos, Resorts",9190,-448,57950
310,Autoliv,Motor Vehicles & Parts,Motor Vehicles and Parts,9170,457,59350
311,Fidelity National Financial,Financials,Insurance: Property and Casualty (Stock),9132,527,54091
312,Republic Services,Business Services,Waste Management,9115,750,33000
313,Corning,Technology,Network and Other Communications Equipment,9111,1339,35700
314,Peter Kiewit Sons’,Engineering & Construction,"Engineering, Construction",8992,251,22000
315,Univar,Wholesalers,Miscellaneous,8982,17,9200
316,Mosaic,Chemicals,Chemicals,8895,1000,8900
317,Core-Mark Holding,Wholesalers,Wholesalers: Food and Grocery,8858,52,6655
318,Thrivent Financial for Lutherans,Financials,"Insurance: Life, Health (Mutual)",8789,769,3104
319,Cameron International,Energy,"Oil and Gas Equipment, Services",8782,501,23000
320,HD Supply Holdings,Wholesalers,Wholesalers: Diversified,8779,1472,14000
321,Crown Holdings,Materials,"Packaging, Containers",8762,393,24000
322,EOG Resources,Energy,"Mining, Crude-Oil Production",8757,-4525,2760
323,Veritiv,Wholesalers,Wholesalers: Diversified,8718,27,8800
324,Anadarko Petroleum,Energy,"Mining, Crude-Oil Production",8698,-6692,5800
325,Laboratory Corp. of America,Health Care,Health Care: Pharmacy and Other Services,8680,437,50000
326,Pacific Life,Financials,"Insurance: Life, Health (stock)",8642,661,3276
327,News Corp.,Media,"Publishing, Printing",8633,-147,25000
328,Jarden,Household Products,"Home Equipment, Furnishings",8604,147,40000
329,SunTrust Banks,Financials,Commercial Banks,8533,1933,24043
330,Avis Budget Group,Retailing,"Automotive Retailing, Services",8502,313,26350
331,Broadcom,Technology,Semiconductors and Other Electronic Components,8394,978,9950
332,American Family Insurance Group,Financials,Insurance: Property and Casualty (Stock),8286,694,9843
333,Level 3 Communications,Telecommunications,Telecommunications,8229,3433,12500
334,Tenneco,Motor Vehicles & Parts,Motor Vehicles and Parts,8209,247,30000
335,United Natural Foods,Wholesalers,Wholesalers: Food and Grocery,8185,139,8700
336,Dean Foods,"Food, Beverages & Tobacco",Food Consumer Products,8122,-9,16960
337,Campbell Soup,"Food, Beverages & Tobacco",Food Consumer Products,8082,691,18600
338,Mohawk Industries,Household Products,"Home Equipment, Furnishings",8072,615,34100
339,BorgWarner,Motor Vehicles & Parts,Motor Vehicles and Parts,8023,610,30000
340,PVH,Apparel,Apparel,8020,572,26200
341,Ball,Materials,"Packaging, Containers",7997,281,15200
342,O’Reilly Automotive,Retailing,Specialty Retailers: Other,7967,931,54911
343,Eversource Energy,Energy,Utilities: Gas and Electric,7955,879,7943
344,Franklin Resources,Financials,Securities,7949,2035,9489
345,Masco,Household Products,"Home Equipment, Furnishings",7904,355,25000
346,Lithia Motors,Retailing,"Automotive Retailing, Services",7864,183,9574
347,KKR,Financials,Securities,7786,489,1196
348,Oneok,Energy,Pipelines,7763,245,2364
349,Newmont Mining,Energy,"Mining, Crude-Oil Production",7729,220,15601
350,PPL,Energy,Utilities: Gas and Electric,7669,682,12799
351,SpartanNash,Wholesalers,Wholesalers: Food and Grocery,7652,63,11850
352,Quanta Services,Engineering & Construction,"Engineering, Construction",7632,311,24500
353,XPO Logistics,Transportation,Transportation and Logistics,7623,-191,89000
354,Ralph Lauren,Apparel,Apparel,7620,702,20000
355,Interpublic Group,Business Services,"Advertising, marketing",7614,455,49200
356,Steel Dynamics,Materials,Metals,7594,-130,7500
357,WESCO International,Wholesalers,Wholesalers: Diversified,7519,211,9300
358,Quest Diagnostics,Health Care,Health Care: Pharmacy and Other Services,7493,709,44000
359,Boston Scientific,Health Care,Medical Products and Equipment,7477,-239,25000
360,AGCO,Industrials,Construction and Farm Machinery,7467,266,19588
361,Foot Locker,Retailing,Specialty Retailers: Apparel,7412,541,30985
362,Hershey,"Food, Beverages & Tobacco",Food Consumer Products,7387,513,19885
363,CenterPoint Energy,Energy,Utilities: Gas and Electric,7386,-692,7505
364,Williams,Energy,Energy,7360,-571,6578
365,Dick’s Sporting Goods,Retailing,Specialty Retailers: Other,7271,330,25150
366,Live Nation Entertainment,Media,Entertainment,7246,-33,12200
367,Mutual of Omaha Insurance,Financials,"Insurance: Life, Health (stock)",7236,333,5488
368,W.R. Berkley,Financials,Insurance: Property and Casualty (Stock),7207,504,7621
369,LKQ,Wholesalers,Wholesalers: Diversified,7193,423,31100
370,Avon Products,Household Products,Household and Personal Products,7173,-1149,30900
371,Darden Restaurants,"Hotels, Resturants & Leisure",Food Services,7164,710,148892
372,Kindred Healthcare,Health Care,Health Care: Medical Facilities,7098,-93,77800
373,Weyerhaeuser,Materials,Forest and Paper Products,7082,506,12600
374,Casey’s General Stores,Retailing,Specialty Retailers: Other,7052,181,22408
375,Sealed Air,Materials,"Packaging, Containers",7032,335,23000
376,Fifth Third Bancorp,Financials,Commercial Banks,7031,1712,18261
377,Dover,Industrials,Industrial Machinery,7029,870,26000
378,Huntington Ingalls Industries,Aerospace & Defense,Aerospace and Defense,7020,404,35995
379,Netflix,Retailing,Specialty Retailers: Other,6780,123,3700
380,Dillard’s,Retailing,General Merchandisers,6755,269,30600
381,EMCOR Group,Engineering & Construction,"Engineering, Construction",6723,172,29000
382,Jones Financial,Financials,Securities,6694,838,41000
383,AK Steel Holding,Materials,Metals,6693,-509,8500
384,UGI,Energy,Energy,6691,281,13570
385,Expedia,Technology,Internet Services and Retailing,6672,765,18730
386,salesforce.com,Technology,Computer Software,6667,-47,19742
387,Targa Resources,Energy,Pipelines,6659,58,1870
388,Apache,Energy,"Mining, Crude-Oil Production",6654,-23119,3860
389,Spirit AeroSystems Holdings,Aerospace & Defense,Aerospace and Defense,6644,789,15200
390,Expeditors International of Washington,Transportation,Transportation and Logistics,6617,457,15397
391,Anixter International,Wholesalers,Wholesalers: Diversified,6596,128,8700
392,Fidelity National Information Services,Business Services,Financial Data Services,6595,632,55000
393,Asbury Automotive Group,Retailing,"Automotive Retailing, Services",6588,169,8600
394,Hess,Energy,Petroleum Refining,6575,-3056,2770
395,Ryder System,Transportation,"Trucking, Truck Leasing",6572,305,33100
396,Terex,Industrials,Construction and Farm Machinery,6543,146,20400
397,Coca-Cola European Partners,"Food, Beverages & Tobacco",Beverages,6540,596,11500
